img,class1 IoU, class2 IoU, class3 IoU, m1, m2, m3 ,p1, p2, p3
0,0.9204302427978363,0.2567198505102774,0.0,59555,5470,0,61628,3192,205
1,0.9920860451614875,0.15212527964205816,0.0,64783,242,0,64585,273,167
2,0.9006629151568788,nan,0.48706673564407654,56341,0,8684,56599,0,8426
3,0.9665537352454324,0.2927706902191691,nan,62306,2719,0,63816,1209,0
4,0.9884126207655619,0.1366742596810934,nan,64165,860,0,64887,138,0
5,0.9965862992728665,0.49414519906323184,0.0,64651,374,0,64754,264,7
6,0.9955879209795121,0.10526315789473684,nan,64922,103,0,64771,254,0
7,0.9847901189275123,0.1088560885608856,0.0,64116,909,0,64715,281,29
8,0.9790829627357768,0.19289940828402366,nan,63745,1280,0,64289,736,0
9,0.998992919921875,0.0,nan,64959,66,0,65025,0,0
10,0.9904237417775739,0.07449494949494949,0.0,64261,764,0,64831,87,107
11,0.9818880519321452,0.15680684248039914,nan,63640,1385,0,64787,238,0
12,0.9722900390625,0.0,nan,63587,1438,0,64658,367,0
13,0.986846923828125,nan,0.0,64218,0,807,64970,0,55
14,0.9931770308636322,0.046908315565031986,nan,64591,434,0,64968,57,0
15,0.9394838466610154,0.33914053426248547,0.0,61921,3104,0,60606,3814,605
16,0.9586306170985105,0.0,0.40009854644000986,62125,0,2900,62097,209,2719
17,0.9676769526600129,0.0,0.004873294346978557,62986,0,2039,64926,76,23
18,0.9747901724401038,0.0036188178528347406,nan,64000,1025,0,64444,581,0
19,0.9627590673575129,nan,0.22172091524331292,62624,0,2401,63643,0,1382
20,0.9641292527574957,0.4043583535108959,0.0,62827,2198,0,62604,1282,1139
21,0.980401756345333,0.12030598052851182,0.0,64303,722,0,64120,889,16
22,0.9911875401609498,0.232,nan,64683,342,0,64459,566,0
23,0.9988553462959006,0.15730337078651685,nan,64936,89,0,65011,14,0
24,0.9904446445743593,0.0,0.0,64824,201,0,64554,420,51
25,0.949485739878753,0.49064584350089474,0.0,60899,4126,0,59985,5008,32
26,0.99432373046875,0.0,nan,64653,372,0,65025,0,0
27,0.99822998046875,0.0,nan,64952,73,0,64982,43,0
28,0.9395610671453047,0.0,0.4835430784123911,59299,0,5726,58562,3011,3452
29,0.9750363698269725,0.3743402354851807,0.0,62723,2302,0,63886,1067,72
30,0.9905058460787007,0.034161490683229816,nan,64582,443,0,64802,223,0
31,0.9898681640625,nan,0.0,64411,0,614,64985,0,40
32,0.995314336299394,0.05246913580246913,nan,64708,317,0,65001,24,0
33,0.9863022122465295,0.35434782608695653,nan,63733,1292,0,64453,572,0
34,0.9326912467094374,0.26276111198366575,0.0,58776,6249,0,62838,1763,424
35,0.8499934921254718,0.2807583083889784,0.0,52514,12511,0,60273,4075,677
36,0.9911760207982871,0.20193637621023514,nan,64342,683,0,64839,186,0
37,0.9890579455796847,0.011363636363636364,0.0,64404,621,0,64911,91,23
38,0.9622332213964,0.0,0.23705552089831566,60306,0,4719,61965,1830,1230
39,0.9949744905752604,0.17543859649122806,nan,64783,242,0,64798,227,0
40,0.9988707462231039,0.075,nan,64945,80,0,65019,6,0
41,0.9568023681640625,0.0,nan,62203,2822,0,65025,0,0
42,0.9246773891902001,0.27585500716772476,0.0,60664,4361,0,61880,1857,1288
43,0.785490740882097,0.0,0.0,51031,0,13994,64923,102,0
44,0.9859129078144359,0.1552917903066271,0.0,64490,535,0,64333,625,67
45,0.9897352864802114,nan,0.0931174089068826,64406,0,619,64841,0,184
46,0.939728890859568,0.322169580133965,0.0,59164,5861,0,62304,2232,489
47,0.9687738004569688,0.37375311720698257,nan,62399,2626,0,63244,1781,0
48,0.9970840585020305,0.1511111111111111,nan,64818,207,0,64973,52,0
49,0.9542363734484619,0.07760850819200919,0.0,62119,2906,0,63612,832,581
50,0.9881258023106547,0.11402508551881414,nan,64393,632,0,64698,327,0
51,0.9743636752528493,0.07393715341959335,0.0,64535,490,0,63679,666,680
52,0.982635498046875,0.0,nan,63893,1132,0,65025,0,0
53,0.9964435625429291,0.08267716535433071,nan,64808,217,0,65009,16,0
54,0.9849528615879994,nan,0.4913657770800628,63763,0,1262,63474,0,1551
55,0.9915313720703125,0.0,nan,64558,467,0,64937,88,0
56,0.9865801594466802,0.17419962335216574,nan,64293,732,0,64510,515,0
57,0.9990081787109375,0.0,nan,64960,65,0,65025,0,0
58,0.9864343155356843,0.0033632286995515697,nan,64309,716,0,64852,173,0
59,0.9660186767578125,0.0,nan,63769,1256,0,64059,966,0
60,0.9539288258432186,0.16662381074826432,0.0,61334,3691,0,63817,846,362
